WKT,ID,Spielplatz-Name,Groesse,Bereich,Ball,Skater,Streetball,Rechtswert,Hochwert
POINT (3406856 5762361),177,SP BREITE LINDEL           (BALLSPIELPLATZ),950,A+B/C,1,,,3406856,5762361
POINT (3406696 5762609),178,SP KEMPERWEG,2200,A+B/C,0,,,3406696,5762609
POINT (3406799 5763013),179,SP KÖNIGSBERGER STRASSE,2894,A+B/C,0,,,3406799,5763013
POINT (3406953 5763066),180,SP BRESLAUER STRASSE,2223,A+B/C,2,,,3406953,5763066
POINT (3407222 5763184),181,SP HAMANNPLATZ,2400,A+B/C,0,,,3407222,5763184
POINT (3406746 5763751),182,SP NERZWEG,4277,A+B/C,2,ja,ja,3406746,5763751
POINT (3407614 5762983),183,SP COERDESTIEGE,1954,B/C,0,,,3407614,5762983
POINT (3407691 5763117),184,SP AM EDELBACH,2111,A+B/C,0,,,3407691,5763117
POINT (3407199 5762246),185,SP MEERWIESE-SÜD,6660,A,2,,ja,3407199,5762246
POINT (3407955 5762966),186,SP SAMLANDUFER,2659,B/C,0,,,3407955,5762966
POINT (3407379 5762735),187,SP JOSEFINE-MAUSER-STRASSE,1696,B/C,0,,,3407379,5762735
POINT (3407366 5762508),188,SP MEERWIESE- MITTE,965,B/C,0,ja,,3407366,5762508
POINT (3407322 5763390),189,SP CULMER STRASSE,1265,A,,,,3407322,5763390
POINT (3404293 5762792),190,SP TREFF ALTHAUSWEG,1124,B/C,0,,ja,3404293,5762792
POINT (3404177 5762508),191,SP IM MOORHOOK,1200,B/C,0,,,3404177,5762508
POINT (3404328 5763165),192,SP AM BURLOH,750,B/C,0,,,3404328,5763165
POINT (3404208 5762902),193,SP ALTHAUSWEG,2000,A,0,,,3404208,5762902
POINT (3405171 5763504),194,SP MEMMERTWEG-NORD,1137,A,0,,,3405171,5763504
POINT (3405143 5763410),195,SP MEMMERTWEG-SÜD,1137,B/C,,,,3405143,5763410
POINT (3403537 5763911),196,SP BRÜNINGHEIDE,170,C,0,,,3403537,5763911
POINT (3403518 5763801),197,SP KILLINGSTRASSE,786,B/C,0,,,3403518,5763801
POINT (3403382 5763714),198,SP ARNETHSTRASSE,386,C,0,,,3403382,5763714
POINT (3403693 5763632),199,SP SPRICKMANNSTRASSE 10,350,C,0,,,3403693,5763632
POINT (3403596 5763624),200,SP CARLO-SCHMID-WEG,236,C,0,,,3403596,5763624
POINT (3403058 5762887),201,SP PAPENBUSCH,412,B/C,0,,,3403058,5762887
POINT (3403241 5763583),202,SP LANGEWORTH,645,B/C,0,,,3403241,5763583
POINT (3403231 5763829),203,SP ALTE SCHANZE,1030,B/C,0,,,3403231,5763829
POINT (3403428 5764005),204,SP HEITKÖTTERSWEG,515,B/C,0,,,3403428,5764005
POINT (3403841 5764172),205,SP NORDMARK                (BALLSPIELPLATZ),1125,A,1,,,3403841,5764172
POINT (3403677 5764090),206,SP MEINERTZSTRASSE,800,B/C,0,,,3403677,5764090
POINT (3404017 5764136),207,SP NORDMARK,3250,A,0,,,3404017,5764136
POINT (3404112 5763870),208,SP PESTALOZZISTRASSE,1060,B/C,2,,,3404112,5763870
POINT (3404021 5763671),209,SP FELDSTIEGENKAMP,1863,B/C,0,,,3404021,5763671
POINT (3404283 5763249),210,SP AM HAUPTZENTRUM KINDERHAUS,800,B/C,0,,,3404283,5763249
POINT (3403439 5763301),211,SP EIMERMACHERWEG,800,B/C,0,,,3403439,5763301
POINT (3403282 5763127),212,SP FERNHOLZSTRASSE,2100,A+B/C,2,,ja,3403282,5763127
POINT (3404102 5762864),213,SP MARTIN-NIEMÖLLER-STRASSE,800,B/C,0,,,3404102,5762864
POINT (3403721 5762677),214,SP KIRCHHOFFWEG,600,B/C,0,,,3403721,5762677
POINT (3403922 5762649),215,SP DAUVEMÜHLE,1138,B/C,0,,,3403922,5762649
POINT (3403635 5762518),216,SP WILKINGHEGE,1800,A,0,,,3403635,5762518
POINT (3405031 5768063),217,SP IN DER AU,900,B/C,0,,,3405031,5768063
POINT (3404957 5767555),218,SP FRITZ-REUTER-STRASSE,2092,B/C,0,,,3404957,5767555
POINT (3404903 5767702),219,SP PLUGGENHEIDE            (BALLSPIELPLATZ),1200,A,1,,,3404903,5767702
POINT (3405270 5767826),220,SP TÖMMERSWEG,1688,A?,0,,,3405270,5767826
POINT (3409026 5758563),221,SP VOSSBUSCH,1300,B/C,2,,,3409026,5758563
POINT (3408548 5758726),222,SP LAERER LANDWEG,1271,B/C,2,,ja,3408548,5758726
POINT (3408910 5758437),223,SP MARGARETENSCHULE,540,B/C,0,,ja,3408910,5758437
POINT (3409392 5759405),224,SP PARKALLEE,1462,B/C,0,,,3409392,5759405
POINT (3408789 5757953),225,SP HEGERSKAMP,2946,A+B/C,2,,,3408789,5757953
POINT (3408208 5759210),226,SP GALLENKAMP,727,B/C,0,,,3408208,5759210
POINT (3408712 5759010),227,SP HANS-BREDOW-WEG,5174,A,0,,,3408712,5759010
POINT (3407917 5758250),228,SP LÜTKENBECKER WEG,1500,A,2,,,3407917,5758250
POINT (3409221 5759627),229,SP AN DER KONRADKIRCHE,1000,B/C,0,,,3409221,5759627
POINT (3409185 5766983),230,SP WESTERHEIDE             (BALLSPIELPLATZ),800,B/C,1,,,3409185,5766983
POINT (3409131 5766891),231,SP WINKELHEIDE,1098,B/C,0,,,3409131,5766891
POINT (3408854 5766860),232,SP GELMERHEIDE,582,B/C,0,,,3408854,5766860
POINT (3410158 5763230),233,SP DYCKBURGSTRASSE,582,B/C,0,,,3410158,5763230
POINT (3410759 5761900),234,SP WERSEAUE,1014,B/C,0,,,3410759,5761900
POINT (3411413 5762499),235,SP MIDDELFELD,1917,B/C,0,,,3411413,5762499
POINT (3411970 5763979),236,SP AM HORNBACH,2666,A,2,ja,ja,3411970,5763979
POINT (3411716 5763758),237,SP TELGENWEG,1628,B/C,0,,,3411716,5763758
POINT (3411573 5763851),238,SP WACHOLDERWEG,748,B/C,0,,,3411573,5763851
POINT (3411096 5761739),239,SP DIEKBREE,700,B/C,0,,,3411096,5761739
POINT (3411206 5762101),240,SP WEDEMHOVE,700,B/C,0,,,3411206,5762101
POINT (3411234 5761820),241,SP TOMKOTTEN,2150,A,2,,ja,3411234,5761820
